pred,real
13557.148976,12881
5114.80477662,6999
15139.195402,15000
12839.8590668,13916
14404.7736031,14980
15949.7741069,14978
9587.97127332,8998
18876.5585568,15993
19646.9669586,19991
13876.5555388,13981
14156.1745022,14988
14004.9815939,14999
13445.7756767,14999
14033.2511264,15991
13400.1200191,12981
5950.16330846,3975
15238.625358,16793
11029.2753503,11700
14060.8555208,14995
12051.5218659,12422
13194.7717692,12881
15802.2561016,15481
16935.7192397,18299
13315.3514129,13881
13327.2152141,11991
13896.7534838,13491
13824.2559546,13224
14525.9902029,13310
13013.58247,10998
14947.2911091,14900
13585.3149066,11999
13490.8250497,13591
16151.8411824,14984
10377.1994569,8999
16952.4310678,19780
17348.8606577,16988
16196.1147126,16000
15934.7439754,16250
17062.1261598,16988
10022.9285838,10000
20019.1689306,19000
20750.594445,21994
13662.3903138,13933
5687.13732051,4500
8112.03156941,9000
16908.6179955,17000
15652.5425302,15991
8718.6715766,7981
18675.1522097,18981
11526.9833327,12900
17616.1114844,17999
17123.478902,15580
12205.6785054,13488
7505.87795589,6897
5605.38679956,4981
12874.7867602,11500
15666.0577134,14987
13179.9864472,12984
11820.0066081,11792
15484.4350894,16300
16929.1923033,17400
14754.8247699,14796
18535.1266986,25555
15639.7500814,14991
11652.3815959,13588
17367.7578652,17991
15023.0341549,13982
13493.6718227,13991
12056.0089202,13491
11953.1291271,10991
19244.5097552,20985
12518.1260123,11990
14938.7102136,15000
8997.00808575,7950
18070.855924,17991
13642.8653529,13988
8943.629594,7995
16309.8025193,15727
15177.4492848,13994
14509.0742003,12985
6304.16573422,3475
13060.5306246,11999
11667.4626045,11991
15639.8952223,16500
14866.447209,13822
20244.0124953,18988
14194.3245135,13995
17543.6289037,17991
17099.6272315,16988
12918.853087,10991
11583.0061998,10888
14346.8567864,14392
19835.4964445,21981
16474.9313387,15999
12003.9725645,11988
9630.46533985,10795
10320.4151508,7998
9586.66465137,8991
15649.8863497,15900
8446.11567329,8900
12896.3355434,13500
12141.4803226,12997
16874.7726372,17000
13057.6237514,12988
13648.7423224,12999
10772.117669,8999
14863.8025494,14991
12357.5226146,9888
14530.5926198,14995
16530.765159,14995
12637.9446587,13999
6859.38848375,4873
15779.8978386,13988
11857.2478953,10995
11148.2832634,11950
14789.3431858,14991
17010.2047632,17400
15222.0878768,13950
17419.0521062,17995
20527.673528,21500
16569.5756987,17088
13190.1909648,12881
13728.9635971,13991
13281.3673352,11888
15907.8747934,15500
14142.1847831,12983
11751.5371841,12891
18372.3384737,22010
13744.1163027,14991
13132.4479081,13963
16534.3162404,15413
13778.0280265,13788
